"";"�..Sigla";"Código";"Munic�.pio";"Renda...rendimentos.do.trabalho..2000."
"1241";"MA";2105948;"Lago dos Rodrigues";67074
"1242";"MA";2105963;"Lagoa Grande do Maranhão";42074
"1243";"MA";2105989;"Lajeado Novo";58873
"1244";"MA";2106003;"Lima Campos";48297
"1245";"MA";2106102;"Loreto";36201
"1246";"MA";2106201;"Luís Domingues";55824
"1247";"MA";2106300;"Magalhães de Almeida";41827
"1248";"MA";2106326;"Maracaçumé";56962
"1249";"MA";2106359;"Marajá do Sena";59363
"1250";"MA";2106375;"Maranhãozinho";46388
"1251";"MA";2106409;"Mata Roma";50843
"1252";"MA";2106508;"Matinha";61393
"1253";"MA";2106607;"Matões";68269
"1254";"MA";2106631;"Matões do Norte";74885
"1255";"MA";2106672;"Milagres do Maranhão";66703
"1256";"MA";2106706;"Mirador";66244
"1257";"MA";2106755;"Miranda do Norte";78118
"1258";"MA";2106805;"Mirinzal";6368
"1259";"MA";2106904;"Monção";70818
"1260";"MA";2107001;"Montes Altos";66571
"1261";"MA";2107100;"Morros";58999
"1262";"MA";2107209;"Nina Rodrigues";72196
"1263";"MA";2107258;"Nova Colinas";3085
"1264";"MA";2107308;"Nova Iorque";4428
"1265";"MA";2107357;"Nova Olinda do Maranhão";34962
"1266";"MA";2107407;"Olho d'Água das Cunhãs";63666
"1267";"MA";2107456;"Olinda Nova do Maranhão";69872
"1268";"MA";2107506;"Paço do Lumiar";75911
"1269";"MA";2107605;"Palmeirândia";62748
"1270";"MA";2107704;"Paraibano";58407
"1271";"MA";2107803;"Parnarama";51509
"1272";"MA";2107902;"Passagem Franca";51322
"1273";"MA";2108009;"Pastos Bons";37587
"1274";"MA";2108058;"Paulino Neves";5189
"1275";"MA";2108108;"Paulo Ramos";6705
"1276";"MA";2108207;"Pedreiras";62211
"1277";"MA";2108256;"Pedro do Rosário";60114
"1278";"MA";2108306;"Penalva";70096
"1279";"MA";2108405;"Peri Mirim";57904
"1280";"MA";2108454;"Peritoró";49463
"1281";"MA";2108504;"Pindaré-Mirim";58965
"1282";"MA";2108603;"Pinheiro";62551
"1283";"MA";2108702;"Pio XII";52503
"1284";"MA";2108801;"Pirapemas";758
"1285";"MA";2108900;"Poção de Pedras";53205
"1286";"MA";2109007;"Porto Franco";72309
"1287";"MA";2109056;"Porto Rico do Maranhão";67038
"1288";"MA";2109106;"Presidente Dutra";71428
"1289";"MA";2109205;"Presidente Juscelino";63373
"1290";"MA";2109239;"Presidente Médici";51356
"1291";"MA";2109270;"Presidente Sarney";69272
"1292";"MA";2109304;"Presidente Vargas";71845
"1293";"MA";2109403;"Primeira Cruz";72383
"1294";"MA";2109452;"Raposa";71417
"1295";"MA";2109502;"Riachão";57464
"1296";"MA";2109551;"Ribamar Fiquene";56563
"1297";"MA";2109601;"Rosário";53063
"1298";"MA";2109700;"Sambaíba";34111
"1299";"MA";2109759;"Santa Filomena do Maranhão";6673
"1300";"MA";2109809;"Santa Helena";65826
"1301";"MA";2109908;"Santa Inês";67101
"1302";"MA";2110005;"Santa Luzia";67608
"1303";"MA";2110039;"Santa Luzia do Paruá";65051
"1304";"MA";2110104;"Santa Quitéria do Maranhão";58889
"1305";"MA";2110203;"Santa Rita";46669
"1306";"MA";2110237;"Santana do Maranhão";43941
"1307";"MA";2110278;"Santo Amaro do Maranhão";47198
"1308";"MA";2110302;"Santo Antônio dos Lopes";73246
"1309";"MA";2110401;"São Benedito do Rio Preto";33323
"1310";"MA";2110500;"São Bento";63076
"1311";"MA";2110609;"São Bernardo";39043
"1312";"MA";2110658;"São Domingos do Azeitão";49935
"1313";"MA";2110708;"São Domingos do Maranhão";72997
"1314";"MA";2110807;"São Félix de Balsas";58024
"1315";"MA";2110856;"São Francisco do Brejão";69548
"1316";"MA";2110906;"São Francisco do Maranhão";33919
"1317";"MA";2111003;"São João Batista";56316
"1318";"MA";2111029;"São João do Carú";54688
"1319";"MA";2111052;"São João do Paraíso";5132
"1320";"MA";2111078;"São João do Soter";60328
"1321";"MA";2111102;"São João dos Patos";58247
"1322";"MA";2111201;"São José de Ribamar";67882
"1323";"MA";2111250;"São José dos Basílios";75221
"1324";"MA";2111300;"São Luís";71335
"1325";"MA";2111409;"São Luís Gonzaga do Maranhão";47605
"1326";"MA";2111508;"São Mateus do Maranhão";59989
"1327";"MA";2111532;"São Pedro da Água Branca";75462
"1328";"MA";2111573;"São Pedro dos Crentes";46752
"1329";"MA";2111607;"São Raimundo das Mangabeiras";48944
"1330";"MA";2111631;"São Raimundo do Doca Bezerra";66027
"1331";"MA";2111672;"São Roberto";5048
"1332";"MA";2111706;"São Vicente Ferrer";55477
"1333";"MA";2111722;"Satubinha";4851
"1334";"MA";2111748;"Senador Alexandre Costa";6893
"1335";"MA";2111763;"Senador La Rocque";67779
"1336";"MA";2111789;"Serrano do Maranhão";6784
"1337";"MA";2111805;"Sítio Novo";48396
"1338";"MA";2111904;"Sucupira do Norte";4803
"1339";"MA";2111953;"Sucupira do Riachão";61841
"1340";"MA";2112001;"Tasso Fragoso";66805
"1341";"MA";2112100;"Timbiras";45094
"1342";"MA";2112209;"Timon";66266
"1343";"MA";2112233;"Trizidela do Vale";62349
"1344";"MA";2112274;"Tufilândia";54615
"1345";"MA";2112308;"Tuntum";74279
"1346";"MA";2112407;"Turiaçu";69827
"1347";"MA";2112456;"Turilândia";45637
"1348";"MA";2112506;"Tutóia";47121
"1349";"MA";2112605;"Urbano Santos";49091
"1350";"MA";2112704;"Vargem Grande";67331
"1351";"MA";2112803;"Viana";63636
"1352";"MA";2112852;"Vila Nova dos Martírios";73645
"1353";"MA";2112902;"Vitória do Mearim";74393
"1354";"MA";2113009;"Vitorino Freire";65163
"1355";"MA";2114007;"Zé Doca";6362
"1356";"MG";3100104;"Abadia dos Dourados";73129
"1357";"MG";3100203;"Abaeté";71989
"1358";"MG";3100302;"Abre Campo";69688
"1359";"MG";3100401;"Acaiaca";61214
"1360";"MG";3100500;"Açucena";48778
"1361";"MG";3100609;"Água Boa";56795
"1362";"MG";3100708;"Água Comprida";74618
"1363";"MG";3100807;"Aguanil";6988
"1364";"MG";3100906;"Águas Formosas";61672
"1365";"MG";3101003;"Águas Vermelhas";64098
"1366";"MG";3101102;"Aimorés";61579
"1367";"MG";3101201;"Aiuruoca";65498
"1368";"MG";3101300;"Alagoa";67605
"1369";"MG";3101409;"Albertina";78953
"1370";"MG";3101508;"Além Paraíba";67922
"1371";"MG";3101607;"Alfenas";75911
"1372";"MG";3101631;"Alfredo Vasconcelos";71587
"1373";"MG";3101706;"Almenara";62049
"1374";"MG";3101805;"Alpercata";6767
"1375";"MG";3101904;"Alpinópolis";79815
"1376";"MG";3102001;"Alterosa";75883
"1377";"MG";3102050;"Alto Caparaó";72933
"1378";"MG";3102100;"Alto Rio Doce";55017
"1379";"MG";3102209;"Alvarenga";63118
"1380";"MG";3102308;"Alvinópolis";65945
"1381";"MG";3102407;"Alvorada de Minas";56567
"1382";"MG";3102506;"Amparo do Serra";57912
"1383";"MG";3102605;"Andradas";70824
"1384";"MG";3102704;"Cachoeira de Pajeú";5921
"1385";"MG";3102803;"Andrelândia";62409
"1386";"MG";3102852;"Angelândia";75416
"1387";"MG";3102902;"Antônio Carlos";67173
"1388";"MG";3103009;"Antônio Dias";61615
"1389";"MG";3103108;"Antônio Prado de Minas";6846
"1390";"MG";3103207;"Araçaí";66651
"1391";"MG";3103306;"Aracitaba";62665
"1392";"MG";3103405;"Araçuaí";54608
"1393";"MG";3103504;"Araguari";72797
"1394";"MG";3103603;"Arantina";6657
"1395";"MG";3103702;"Araponga";69245
"1396";"MG";3103751;"Araporã";77319
"1397";"MG";3103801;"Arapuá";69256
"1398";"MG";3103900;"Araújos";77684
"1399";"MG";3104007;"Araxá";69999
"1400";"MG";3104106;"Arceburgo";76097
"1401";"MG";3104205;"Arcos";71033
"1402";"MG";3104304;"Areado";77691
"1403";"MG";3104403;"Argirita";67674
"1404";"MG";3104452;"Aricanduva";53095
"1405";"MG";3104502;"Arinos";57336
"1406";"MG";3104601;"Astolfo Dutra";70811
"1407";"MG";3104700;"Ataléia";6354
"1408";"MG";3104809;"Augusto de Lima";67276
"1409";"MG";3104908;"Baependi";63345
"1410";"MG";3105004;"Baldim";61607
"1411";"MG";3105103;"Bambuí";70581
"1412";"MG";3105202;"Bandeira";56224
"1413";"MG";3105301;"Bandeira do Sul";7951
"1414";"MG";3105400;"Barão de Cocais";61511
"1415";"MG";3105509;"Barão de Monte Alto";65664
"1416";"MG";3105608;"Barbacena";66061
"1417";"MG";3105707;"Barra Longa";58991
"1418";"MG";3105905;"Barroso";62767
"1419";"MG";3106002;"Bela Vista de Minas";60315
"1420";"MG";3106101;"Belmiro Braga";6819
"1421";"MG";3106200;"Belo Horizonte";69423
"1422";"MG";3106309;"Belo Oriente";65471
"1423";"MG";3106408;"Belo Vale";64444
"1424";"MG";3106507;"Berilo";56381
"1425";"MG";3106606;"Bertópolis";61428
"1426";"MG";3106655;"Berizal";61734
"1427";"MG";3106705;"Betim";72312
"1428";"MG";3106804;"Bias Fortes";64761
"1429";"MG";3106903;"Bicas";63915
"1430";"MG";3107000;"Biquinhas";65811
"1431";"MG";3107109;"Boa Esperança";72782
"1432";"MG";3107208;"Bocaina de Minas";6819
"1433";"MG";3107307;"Bocaiúva";67491
"1434";"MG";3107406;"Bom Despacho";73358
"1435";"MG";3107505;"Bom Jardim de Minas";65871
"1436";"MG";3107604;"Bom Jesus da Penha";7324
"1437";"MG";3107703;"Bom Jesus do Amparo";6366
"1438";"MG";3107802;"Bom Jesus do Galho";6079
"1439";"MG";3107901;"Bom Repouso";67591
"1440";"MG";3108008;"Bom Sucesso";70027
"1441";"MG";3108107;"Bonfim";63276
"1442";"MG";3108206;"Bonfinópolis de Minas";69219
"1443";"MG";3108255;"Bonito de Minas";30135
"1444";"MG";3108305;"Borda da Mata";72824
"1445";"MG";3108404;"Botelhos";80567
"1446";"MG";3108503;"Botumirim";49828
"1447";"MG";3108552;"Brasilândia de Minas";70693
"1448";"MG";3108602;"Brasília de Minas";57866
"1449";"MG";3108701;"Brás Pires";5079
"1450";"MG";3108800;"Braúnas";48797
"1451";"MG";3108909;"Brasópolis";6235
"1452";"MG";3109006;"Brumadinho";73205
"1453";"MG";3109105;"Bueno Brandão";74724
"1454";"MG";3109204;"Buenópolis";57313
"1455";"MG";3109253;"Bugre";48996
"1456";"MG";3109303;"Buritis";67878
"1457";"MG";3109402;"Buritizeiro";66238
"1458";"MG";3109451;"Cabeceira Grande";74273
"1459";"MG";3109501;"Cabo Verde";77544
"1460";"MG";3109600;"Cachoeira da Prata";66001
"1461";"MG";3109709;"Cachoeira de Minas";73597
"1462";"MG";3109808;"Cachoeira Dourada";73839
"1463";"MG";3109907;"Caetanópolis";63123
"1464";"MG";3110004;"Caeté";63533
"1465";"MG";3110103;"Caiana";61212
"1466";"MG";3110202;"Cajuri";66391
"1467";"MG";3110301;"Caldas";75592
"1468";"MG";3110400;"Camacho";65144
"1469";"MG";3110509;"Camanducaia";72054
"1470";"MG";3110608;"Cambuí";70405
"1471";"MG";3110707;"Cambuquira";74974
"1472";"MG";3110806;"Campanário";66245
"1473";"MG";3110905;"Campanha";75051
"1474";"MG";3111002;"Campestre";7928
"1475";"MG";3111101;"Campina Verde";71534
"1476";"MG";3111150;"Campo Azul";42501
"1477";"MG";3111200;"Campo Belo";7116
"1478";"MG";3111309;"Campo do Meio";75193
"1479";"MG";3111408;"Campo Florido";7638
"1480";"MG";3111507;"Campos Altos";78569
"1481";"MG";3111606;"Campos Gerais";80489
"1482";"MG";3111705;"Canaã";6351
"1483";"MG";3111804;"Canápolis";75619
"1484";"MG";3111903;"Cana Verde";72075
"1485";"MG";3112000;"Candeias";71382
"1486";"MG";3112059;"Cantagalo";54111
"1487";"MG";3112109;"Caparaó";73931
"1488";"MG";3112208;"Capela Nova";61064
"1489";"MG";3112307;"Capelinha";73826
"1490";"MG";3112406;"Capetinga";78582
"1491";"MG";3112505;"Capim Branco";68905
"1492";"MG";3112604;"Capinópolis";72961
"1493";"MG";3112653;"Capitão Andrade";58726
"1494";"MG";3112703;"Capitão Enéas";65019
"1495";"MG";3112802;"Capitólio";77429
"1496";"MG";3112901;"Caputira";66523
"1497";"MG";3113008;"Caraí";68866
"1498";"MG";3113107;"Caranaíba";63222
"1499";"MG";3113206;"Carandaí";56092
"1500";"MG";3113305;"Carangola";65417
"1501";"MG";3113404;"Caratinga";67507
"1502";"MG";3113503;"Carbonita";51435
"1503";"MG";3113602;"Careaçu";73846
"1504";"MG";3113701;"Carlos Chagas";66985
"1505";"MG";3113800;"Carmésia";60733
"1506";"MG";3113909;"Carmo da Cachoeira";78758
"1507";"MG";3114006;"Carmo da Mata";70421
"1508";"MG";3114105;"Carmo de Minas";72565
"1509";"MG";3114204;"Carmo do Cajuru";75008
"1510";"MG";3114303;"Carmo do Paranaíba";72968
"1511";"MG";3114402;"Carmo do Rio Claro";79304
"1512";"MG";3114501;"Carmópolis de Minas";6775
"1513";"MG";3114550;"Carneirinho";78318
"1514";"MG";3114600;"Carrancas";62441
"1515";"MG";3114709;"Carvalhópolis";72767
"1516";"MG";3114808;"Carvalhos";68476
"1517";"MG";3114907;"Casa Grande";61913
"1518";"MG";3115003;"Cascalho Rico";77078
"1519";"MG";3115102;"Cássia";782
"1520";"MG";3115201;"Conceição da Barra de Minas";66841
"1521";"MG";3115300;"Cataguases";63579
"1522";"MG";3115359;"Catas Altas";60859
"1523";"MG";3115409;"Catas Altas da Noruega";53557
"1524";"MG";3115458;"Catuji";65143
"1525";"MG";3115474;"Catuti";671
"1526";"MG";3115508;"Caxambu";67421
"1527";"MG";3115607;"Cedro do Abaeté";70352
"1528";"MG";3115706;"Central de Minas";57524
"1529";"MG";3115805;"Centralina";73055
"1530";"MG";3115904;"Chácara";65669
"1531";"MG";3116001;"Chalé";66947
"1532";"MG";3116100;"Chapada do Norte";58778
"1533";"MG";3116159;"Chapada Gaúcha";4279
"1534";"MG";3116209;"Chiador";67255
"1535";"MG";3116308;"Cipotânea";49502
"1536";"MG";3116407;"Claraval";77739
"1537";"MG";3116506;"Claro dos Poções";66399
"1538";"MG";3116605;"Cláudio";74537
"1539";"MG";3116704;"Coimbra";62458
"1540";"MG";3116803;"Coluna";51474
"1541";"MG";3116902;"Comendador Gomes";75799
"1542";"MG";3117009;"Comercinho";46718
"1543";"MG";3117108;"Conceição da Aparecida";77316
"1544";"MG";3117207;"Conceição das Pedras";73505
"1545";"MG";3117306;"Conceição das Alagoas";7426
"1546";"MG";3117405;"Conceição de Ipanema";63451
"1547";"MG";3117504;"Conceição do Mato Dentro";49734
"1548";"MG";3117603;"Conceição do Pará";66456
"1549";"MG";3117702;"Conceição do Rio Verde";72858
"1550";"MG";3117801;"Conceição dos Ouros";76472
"1551";"MG";3117836;"Cônego Marinho";34172
"1552";"MG";3117876;"Confins";70882
"1553";"MG";3117900;"Congonhal";74506
"1554";"MG";3118007;"Congonhas";65497
"1555";"MG";3118106;"Congonhas do Norte";48956
"1556";"MG";3118205;"Conquista";7479
"1557";"MG";3118304;"Conselheiro Lafaiete";63843
"1558";"MG";3118403;"Conselheiro Pena";64521
"1559";"MG";3118502;"Consolação";65559
"1560";"MG";3118601;"Contagem";72007
"1561";"MG";3118700;"Coqueiral";75152
"1562";"MG";3118809;"Coração de Jesus";59577
"1563";"MG";3118908;"Cordisburgo";64279
"1564";"MG";3119005;"Cordislândia";74367
"1565";"MG";3119104;"Corinto";62921
"1566";"MG";3119203;"Coroaci";67272
"1567";"MG";3119302;"Coromandel";75492
"1568";"MG";3119401;"Coronel Fabriciano";6516
"1569";"MG";3119500;"Coronel Murta";65194
"1570";"MG";3119609;"Coronel Pacheco";67639
"1571";"MG";3119708;"Coronel Xavier Chaves";69226
"1572";"MG";3119807;"Córrego Danta";73837
"1573";"MG";3119906;"Córrego do Bom Jesus";68084
"1574";"MG";3119955;"Córrego Fundo";73368
"1575";"MG";3120003;"Córrego Novo";58888
"1576";"MG";3120102;"Couto de Magalhães de Minas";60607
"1577";"MG";3120151;"Crisólita";4969
"1578";"MG";3120201;"Cristais";75877
"1579";"MG";3120300;"Cristália";51902
"1580";"MG";3120409;"Cristiano Otoni";647
"1581";"MG";3120508;"Cristina";75563
"1582";"MG";3120607;"Crucilândia";66054
"1583";"MG";3120706;"Cruzeiro da Fortaleza";79794
"1584";"MG";3120805;"Cruzília";75854
"1585";"MG";3120839;"Cuparaque";66205
"1586";"MG";3120870;"Curral de Dentro";58874
"1587";"MG";3120904;"Curvelo";70131
"1588";"MG";3121001;"Datas";4319
"1589";"MG";3121100;"Delfim Moreira";73967
"1590";"MG";3121209;"Delfinópolis";75673
"1591";"MG";3121258;"Delta";72885
"1592";"MG";3121308;"Descoberto";68276
"1593";"MG";3121407;"Desterro de Entre Rios";53897
"1594";"MG";3121506;"Desterro do Melo";61791
"1595";"MG";3121605;"Diamantina";59181
"1596";"MG";3121704;"Diogo de Vasconcelos";49788
"1597";"MG";3121803;"Dionísio";61066
"1598";"MG";3121902;"Divinésia";65929
"1599";"MG";3122009;"Divino";71417
"1600";"MG";3122108;"Divino das Laranjeiras";61093
"1601";"MG";3122207;"Divinolândia de Minas";59049
"1602";"MG";3122306;"Divinópolis";7199
"1603";"MG";3122355;"Divisa Alegre";61952
"1604";"MG";3122405;"Divisa Nova";76785
"1605";"MG";3122454;"Divisópolis";63492
"1606";"MG";3122470;"Dom Bosco";67932
"1607";"MG";3122504;"Dom Cavati";6214
"1608";"MG";3122603;"Dom Joaquim";52963
"1609";"MG";3122702;"Dom Silvério";63909
"1610";"MG";3122801;"Dom Viçoso";69656
"1611";"MG";3122900;"Dona Eusébia";68808
"1612";"MG";3123007;"Dores de Campos";71304
"1613";"MG";3123106;"Dores de Guanhães";60751
"1614";"MG";3123205;"Dores do Indaiá";69623
"1615";"MG";3123304;"Dores do Turvo";66029
"1616";"MG";3123403;"Doresópolis";73644
"1617";"MG";3123502;"Douradoquara";76538
"1618";"MG";3123528;"Durandé";72053
"1619";"MG";3123601;"Elói Mendes";72569
"1620";"MG";3123700;"Engenheiro Caldas";62436
"1621";"MG";3123809;"Engenheiro Navarro";66113
"1622";"MG";3123858;"Entre Folhas";57577
"1623";"MG";3123908;"Entre Rios de Minas";64941
"1624";"MG";3124005;"Ervália";63368
"1625";"MG";3124104;"Esmeraldas";74994
"1626";"MG";3124203;"Espera Feliz";68923
"1627";"MG";3124302;"Espinosa";57026
"1628";"MG";3124401;"Espírito Santo do Dourado";69521
"1629";"MG";3124500;"Estiva";70075
"1630";"MG";3124609;"Estrela Dalva";69027
"1631";"MG";3124708;"Estrela do Indaiá";74711
"1632";"MG";3124807;"Estrela do Sul";67522
"1633";"MG";3124906;"Eugenópolis";59397
"1634";"MG";3125002;"Ewbank da Câmara";70323
"1635";"MG";3125101;"Extrema";70629
"1636";"MG";3125200;"Fama";74304
"1637";"MG";3125309;"Faria Lemos";66682
"1638";"MG";3125408;"Felício dos Santos";44034
"1639";"MG";3125507;"São Gonçalo do Rio Preto";52113
"1640";"MG";3125606;"Felisburgo";52885
"1641";"MG";3125705;"Felixlândia";71915
"1642";"MG";3125804;"Fernandes Tourinho";59219
"1643";"MG";3125903;"Ferros";53325
"1644";"MG";3125952;"Fervedouro";66817
"1645";"MG";3126000;"Florestal";67634
"1646";"MG";3126109;"Formiga";70412
"1647";"MG";3126208;"Formoso";62468
"1648";"MG";3126307;"Fortaleza de Minas";69826
"1649";"MG";3126406;"Fortuna de Minas";7151
"1650";"MG";3126505;"Francisco Badaró";45265
"1651";"MG";3126604;"Francisco Dumont";61858
"1652";"MG";3126703;"Francisco Sá";69939
"1653";"MG";3126752;"Franciscópolis";61626
"1654";"MG";3126802;"Frei Gaspar";60733
"1655";"MG";3126901;"Frei Inocêncio";69275
"1656";"MG";3126950;"Frei Lagonegro";51634
"1657";"MG";3127008;"Fronteira";7155
"1658";"MG";3127057;"Fronteira dos Vales";55861
"1659";"MG";3127073;"Fruta de Leite";42397
"1660";"MG";3127107;"Frutal";75958
"1661";"MG";3127206;"Funilândia";6476
"1662";"MG";3127305;"Galiléia";63454
"1663";"MG";3127339;"Gameleiras";51897
"1664";"MG";3127354;"Glaucilândia";54239
"1665";"MG";3127370;"Goiabeira";59154
"1666";"MG";3127388;"Goianá";65165
"1667";"MG";3127404;"Gonçalves";64115
"1668";"MG";3127503;"Gonzaga";47569
"1669";"MG";3127602;"Gouveia";55392
"1670";"MG";3127701;"Governador Valadares";68264
"1671";"MG";3127800;"Grão Mogol";55489
"1672";"MG";3127909;"Grupiara";73233
"1673";"MG";3128006;"Guanhães";68698
"1674";"MG";3128105;"Guapé";79909
"1675";"MG";3128204;"Guaraciaba";56696
"1676";"MG";3128253;"Guaraciama";58299
"1677";"MG";3128303;"Guaranésia";77792
"1678";"MG";3128402;"Guarani";69265
"1679";"MG";3128501;"Guarará";67413
"1680";"MG";3128600;"Guarda-Mor";69619
"1681";"MG";3128709;"Guaxupé";63885
"1682";"MG";3128808;"Guidoval";65081
"1683";"MG";3128907;"Guimarânia";76141
"1684";"MG";3129004;"Guiricema";60094
"1685";"MG";3129103;"Gurinhatã";72751
"1686";"MG";3129202;"Heliodora";64125
"1687";"MG";3129301;"Iapu";64054
"1688";"MG";3129400;"Ibertioga";66705
"1689";"MG";3129509;"Ibiá";6775
"1690";"MG";3129608;"Ibiaí";68803
"1691";"MG";3129657;"Ibiracatu";4157
"1692";"MG";3129707;"Ibiraci";78487
"1693";"MG";3129806;"Ibirité";67672
"1694";"MG";3129905;"Ibitiúra de Minas";76516
"1695";"MG";3130002;"Ibituruna";72412
"1696";"MG";3130051;"Icaraí de Minas";3419
"1697";"MG";3130101;"Igarapé";6821
"1698";"MG";3130200;"Igaratinga";78551
"1699";"MG";3130309;"Iguatama";73119
"1700";"MG";3130408;"Ijaci";71681
"1701";"MG";3130507;"Ilicínea";74689
"1702";"MG";3130556;"Imbé de Minas";63532
"1703";"MG";3130606;"Inconfidentes";75182
"1704";"MG";3130655;"Indaiabira";51238
"1705";"MG";3130705;"Indianópolis";81968
"1706";"MG";3130804;"Ingaí";7082
"1707";"MG";3130903;"Inhapim";52327
"1708";"MG";3131000;"Inhaúma";75096
"1709";"MG";3131109;"Inimutaba";59014
"1710";"MG";3131158;"Ipaba";68417
"1711";"MG";3131208;"Ipanema";64964
"1712";"MG";3131307;"Ipatinga";6788
"1713";"MG";3131406;"Ipiaçu";75505
"1714";"MG";3131505;"Ipuiúna";74858
"1715";"MG";3131604;"Iraí de Minas";81661
"1716";"MG";3131703;"Itabira";59369
"1717";"MG";3131802;"Itabirinha de Mantena";60157
"1718";"MG";3131901;"Itabirito";67108
"1719";"MG";3132008;"Itacambira";35679
"1720";"MG";3132107;"Itacarambi";63398
"1721";"MG";3132206;"Itaguara";67444
"1722";"MG";3132305;"Itaipé";5259
"1723";"MG";3132404;"Itajubá";68335
"1724";"MG";3132503;"Itamarandiba";59765
"1725";"MG";3132602;"Itamarati de Minas";68978
"1726";"MG";3132701;"Itambacuri";64061
"1727";"MG";3132800;"Itambé do Mato Dentro";60763
"1728";"MG";3132909;"Itamogi";79719
"1729";"MG";3133006;"Itamonte";71463
"1730";"MG";3133105;"Itanhandu";73363
"1731";"MG";3133204;"Itanhomi";5935
"1732";"MG";3133303;"Itaobim";59456
"1733";"MG";3133402;"Itapagipe";80912
"1734";"MG";3133501;"Itapecerica";66464
"1735";"MG";3133600;"Itapeva";75513
"1736";"MG";3133709;"Itatiaiuçu";68358
"1737";"MG";3133758;"Itaú de Minas";70267
"1738";"MG";3133808;"Itaúna";72397
"1739";"MG";3133907;"Itaverava";56824
"1740";"MG";3134004;"Itinga";41198
"1741";"MG";3134103;"Itueta";69059
"1742";"MG";3134202;"Ituiutaba";70717
"1743";"MG";3134301;"Itumirim";68597
"1744";"MG";3134400;"Iturama";78529
"1745";"MG";3134509;"Itutinga";64796
"1746";"MG";3134608;"Jaboticatubas";66549
"1747";"MG";3134707;"Jacinto";46498
"1748";"MG";3134806;"Jacuí";65715
"1749";"MG";3134905;"Jacutinga";77257
"1750";"MG";3135001;"Jaguaraçu";61669
"1751";"MG";3135050;"Jaíba";66757
"1752";"MG";3135076;"Jampruca";59281
"1753";"MG";3135100;"Janaúba";71662
"1754";"MG";3135209;"Januária";52631
"1755";"MG";3135308;"Japaraíba";71256
"1756";"MG";3135357;"Japonvar";50007
"1757";"MG";3135407;"Jeceaba";62412
"1758";"MG";3135456;"Jenipapo de Minas";47257
"1759";"MG";3135506;"Jequeri";59687
"1760";"MG";3135605;"Jequitaí";65758
"1761";"MG";3135704;"Jequitibá";61983
"1762";"MG";3135803;"Jequitinhonha";50383
"1763";"MG";3135902;"Jesuânia";7486
"1764";"MG";3136009;"Joaíma";51801
"1765";"MG";3136108;"Joanésia";62222
"1766";"MG";3136207;"João Monlevade";63931
"1767";"MG";3136306;"João Pinheiro";74627
"1768";"MG";3136405;"Joaquim Felício";62225
"1769";"MG";3136504;"Jordânia";58475
"1770";"MG";3136520;"José Gonçalves de Minas";59335
"1771";"MG";3136553;"José Raydan";55059
"1772";"MG";3136579;"Josenópolis";36649
"1773";"MG";3136603;"Nova União";60517
"1774";"MG";3136652;"Juatuba";70869
"1775";"MG";3136702;"Juiz de Fora";66019
"1776";"MG";3136801;"Juramento";61316
"1777";"MG";3136900;"Juruaia";7029
"1778";"MG";3136959;"Juvenília";48838
"1779";"MG";3137007;"Ladainha";68385
"1780";"MG";3137106;"Lagamar";7076
"1781";"MG";3137205;"Lagoa da Prata";7969
"1782";"MG";3137304;"Lagoa dos Patos";63523
"1783";"MG";3137403;"Lagoa Dourada";68022
"1784";"MG";3137502;"Lagoa Formosa";71435
"1785";"MG";3137536;"Lagoa Grande";77456
"1786";"MG";3137601;"Lagoa Santa";72244
"1787";"MG";3137700;"Lajinha";62535
"1788";"MG";3137809;"Lambari";73196
"1789";"MG";3137908;"Lamim";63902
"1790";"MG";3138005;"Laranjal";68446
"1791";"MG";3138104;"Lassance";58216
"1792";"MG";3138203;"Lavras";67451
"1793";"MG";3138302;"Leandro Ferreira";70474
"1794";"MG";3138351;"Leme do Prado";61688
"1795";"MG";3138401;"Leopoldina";69864
"1796";"MG";3138500;"Liberdade";66421
"1797";"MG";3138609;"Lima Duarte";66759
"1798";"MG";3138625;"Limeira do Oeste";77567
"1799";"MG";3138658;"Lontra";53193
"1800";"MG";3138674;"Luisburgo";63771
"1801";"MG";3138682;"Luislândia";61167
"1802";"MG";3138708;"Luminárias";73821
"1803";"MG";3138807;"Luz";76487
"1804";"MG";3138906;"Machacalis";65123
"1805";"MG";3139003;"Machado";77424
"1806";"MG";3139102;"Madre de Deus de Minas";66959
"1807";"MG";3139201;"Malacacheta";60187
"1808";"MG";3139250;"Mamonas";54431
"1809";"MG";3139300;"Manga";61493
"1810";"MG";3139409;"Manhuaçu";66626
"1811";"MG";3139508;"Manhumirim";67936
"1812";"MG";3139607;"Mantena";63006
"1813";"MG";3139706;"Maravilhas";69828
"1814";"MG";3139805;"Mar de Espanha";65639
"1815";"MG";3139904;"Maria da Fé";81832
"1816";"MG";3140001;"Mariana";68431
"1817";"MG";3140100;"Marilac";58886
"1818";"MG";3140159;"Mário Campos";71155
"1819";"MG";3140209;"Maripá de Minas";67013
"1820";"MG";3140308;"Marliéria";60861
"1821";"MG";3140407;"Marmelópolis";718
"1822";"MG";3140506;"Martinho Campos";72381
"1823";"MG";3140530;"Martins Soares";7183
"1824";"MG";3140555;"Mata Verde";64129
"1825";"MG";3140605;"Materlândia";58615
"1826";"MG";3140704;"Mateus Leme";68154
"1827";"MG";3140803;"Matias Barbosa";71984
