"";"�..Sigla";"Código";"Munic�.pio";"Renda...rendimentos.do.trabalho..2000."
"139";"AM";1300839;"Caapiranga";69152
"140";"AM";1300904;"Canutama";42079
"141";"AM";1301001;"Carauari";41159
"142";"AM";1301100;"Careiro";54394
"143";"AM";1301159;"Careiro da Várzea";64302
"144";"AM";1301209;"Coari";73086
"145";"AM";1301308;"Codajás";56288
"146";"AM";1301407;"Eirunepé";57078
"147";"AM";1301506;"Envira";29599
"148";"AM";1301605;"Fonte Boa";51478
"149";"AM";1301654;"Guajará";38991
"150";"AM";1301704;"Humaitá";61667
"151";"AM";1301803;"Ipixuna";51788
"152";"AM";1301852;"Iranduba";67554
"153";"AM";1301902;"Itacoatiara";67405
"154";"AM";1301951;"Itamarati";57485
"155";"AM";1302009;"Itapiranga";56171
"156";"AM";1302108;"Japurá";46923
"157";"AM";1302207;"Juruá";57572
"158";"AM";1302306;"Jutaí";36288
"159";"AM";1302405;"Lábrea";46115
"160";"AM";1302504;"Manacapuru";61671
"161";"AM";1302553;"Manaquiri";32567
"162";"AM";1302603;"Manaus";70268
"163";"AM";1302702;"Manicoré";55449
"164";"AM";1302801;"Maraã";45995
"165";"AM";1302900;"Maués";57618
"166";"AM";1303007;"Nhamundá";61127
"167";"AM";1303106;"Nova Olinda do Norte";44014
"168";"AM";1303205;"Novo Airão";55884
"169";"AM";1303304;"Novo Aripuanã";53576
"170";"AM";1303403;"Parintins";65331
"171";"AM";1303502;"Pauini";38123
"172";"AM";1303536;"Presidente Figueiredo";69448
"173";"AM";1303569;"Rio Preto da Eva";67977
"174";"AM";1303601;"Santa Isabel do Rio Negro";37444
"175";"AM";1303700;"Santo Antônio do Içá";36717
"176";"AM";1303809;"São Gabriel da Cachoeira";30528
"177";"AM";1303908;"São Paulo de Olivença";47547
"178";"AM";1303957;"São Sebastião do Uatumã";63955
"179";"AM";1304005;"Silves";59684
"180";"AM";1304062;"Tabatinga";55051
"181";"AM";1304104;"Tapauá";50063
"182";"AM";1304203;"Tefé";69797
"183";"AM";1304237;"Tonantins";66394
"184";"AM";1304260;"Uarini";49994
"185";"AM";1304302;"Urucará";63342
"186";"AM";1304401;"Urucurituba";44182
"187";"AP";1600055;"Serra do Navio";6482
"188";"AP";1600105;"Amapá";73366
"189";"AP";1600154;"Pedra Branca do Amaparí";49662
"190";"AP";1600204;"Calçoene";6524
"191";"AP";1600212;"Cutias";59391
"192";"AP";1600238;"Ferreira Gomes";64886
"193";"AP";1600253;"Itaubal";58735
"194";"AP";1600279;"Laranjal do Jari";71728
"195";"AP";1600303;"Macapá";72664
"196";"AP";1600402;"Mazagão";52892
"197";"AP";1600501;"Oiapoque";72313
"198";"AP";1600535;"Porto Grande";67904
"199";"AP";1600550;"Pracuúba";6954
"200";"AP";1600600;"Santana";73071
"201";"AP";1600709;"Tartarugalzinho";64132
"202";"AP";1600808;"Vitória do Jari";59174
"203";"BA";2900108;"Abaíra";5099
"204";"BA";2900207;"Abaré";55555
"205";"BA";2900306;"Acajutiba";43475
"206";"BA";2900355;"Adustina";70777
"207";"BA";2900405;"Água Fria";42955
"208";"BA";2900504;"Érico Cardoso";27706
"209";"BA";2900603;"Aiquara";58636
"210";"BA";2900702;"Alagoinhas";59874
"211";"BA";2900801;"Alcobaça";61752
"212";"BA";2900900;"Almadina";58757
"213";"BA";2901007;"Amargosa";57377
"214";"BA";2901106;"Amélia Rodrigues";5769
"215";"BA";2901155;"América Dourada";55859
"216";"BA";2901205;"Anagé";35118
"217";"BA";2901304;"Andaraí";47224
"218";"BA";2901353;"Andorinha";42304
"219";"BA";2901403;"Angical";6396
"220";"BA";2901502;"Anguera";49873
"221";"BA";2901601;"Antas";72904
"222";"BA";2901700;"Antônio Cardoso";49617
"223";"BA";2901809;"Antônio Gonçalves";52515
"224";"BA";2901908;"Aporá";51923
"225";"BA";2901957;"Apuarema";64675
"226";"BA";2902005;"Aracatu";43563
"227";"BA";2902054;"Araças";54943
"228";"BA";2902104;"Araci";45994
"229";"BA";2902203;"Aramari";48749
"230";"BA";2902252;"Arataca";68907
"231";"BA";2902302;"Aratuípe";61597
"232";"BA";2902401;"Aurelino Leal";62173
"233";"BA";2902500;"Baianópolis";32465
"234";"BA";2902609;"Baixa Grande";42498
"235";"BA";2902658;"Banzaê";64839
"236";"BA";2902708;"Barra";34338
"237";"BA";2902807;"Barra da Estiva";61691
"238";"BA";2902906;"Barra do Choça";76356
"239";"BA";2903003;"Barra do Mendes";58689
"240";"BA";2903102;"Barra do Rocha";69381
"241";"BA";2903201;"Barreiras";76434
"242";"BA";2903235;"Barro Alto";60253
"243";"BA";2903276;"Barrocas";NA
"244";"BA";2903300;"Governador Lomanto Júnior";62194
"245";"BA";2903409;"Belmonte";6777
"246";"BA";2903508;"Belo Campo";53329
"247";"BA";2903607;"Biritinga";53658
"248";"BA";2903706;"Boa Nova";36761
"249";"BA";2903805;"Boa Vista do Tupim";50723
"250";"BA";2903904;"Bom Jesus da Lapa";58238
"251";"BA";2903953;"Bom Jesus da Serra";3621
"252";"BA";2904001;"Boninal";4337
"253";"BA";2904050;"Bonito";6018
"254";"BA";2904100;"Boquira";36688
"255";"BA";2904209;"Botuporã";33887
"256";"BA";2904308;"Brejões";6782
"257";"BA";2904407;"Brejolândia";50488
"258";"BA";2904506;"Brotas de Macaúbas";26971
"259";"BA";2904605;"Brumado";58707
"260";"BA";2904704;"Buerarema";60571
"261";"BA";2904753;"Buritirama";22355
"262";"BA";2904803;"Caatiba";75385
"263";"BA";2904852;"Cabaceiras do Paraguaçu";30606
"264";"BA";2904902;"Cachoeira";50668
"265";"BA";2905008;"Caculé";51175
"266";"BA";2905107;"Caém";52457
"267";"BA";2905156;"Caetanos";35946
"268";"BA";2905206;"Caetité";53251
"269";"BA";2905305;"Cafarnaum";5465
"270";"BA";2905404;"Cairu";6439
"271";"BA";2905503;"Caldeirão Grande";44179
"272";"BA";2905602;"Camacan";59255
"273";"BA";2905701;"Camaçari";695
"274";"BA";2905800;"Camamu";61988
"275";"BA";2905909;"Campo Alegre de Lourdes";48601
"276";"BA";2906006;"Campo Formoso";55794
"277";"BA";2906105;"Canápolis";4317
"278";"BA";2906204;"Canarana";49344
"279";"BA";2906303;"Canavieiras";64997
"280";"BA";2906402;"Candeal";53085
"281";"BA";2906501;"Candeias";63469
"282";"BA";2906600;"Candiba";52512
"283";"BA";2906709;"Cândido Sales";60184
"284";"BA";2906808;"Cansanção";38762
"285";"BA";2906824;"Canudos";5752
"286";"BA";2906857;"Capela do Alto Alegre";58256
"287";"BA";2906873;"Capim Grosso";60776
"288";"BA";2906899;"Caraíbas";39139
"289";"BA";2906907;"Caravelas";64663
"290";"BA";2907004;"Cardeal da Silva";53693
"291";"BA";2907103;"Carinhanha";55465
"292";"BA";2907202;"Casa Nova";5435
"293";"BA";2907301;"Castro Alves";47396
"294";"BA";2907400;"Catolândia";56957
"295";"BA";2907509;"Catu";5402
"296";"BA";2907558;"Caturama";45717
"297";"BA";2907608;"Central";48549
"298";"BA";2907707;"Chorrochó";3392
"299";"BA";2907806;"Cícero Dantas";67088
"300";"BA";2907905;"Cipó";68913
"301";"BA";2908002;"Coaraci";57029
"302";"BA";2908101;"Cocos";40764
"303";"BA";2908200;"Conceição da Feira";53415
"304";"BA";2908309;"Conceição do Almeida";56599
"305";"BA";2908408;"Conceição do Coité";59439
"306";"BA";2908507;"Conceição do Jacuípe";66363
"307";"BA";2908606;"Conde";50494
"308";"BA";2908705;"Condeúba";48644
"309";"BA";2908804;"Contendas do Sincorá";5625
"310";"BA";2908903;"Coração de Maria";67796
"311";"BA";2909000;"Cordeiros";54889
"312";"BA";2909109;"Coribe";39194
"313";"BA";2909208;"Coronel João Sá";47538
"314";"BA";2909307;"Correntina";51146
"315";"BA";2909406;"Cotegipe";67755
"316";"BA";2909505;"Cravolândia";63566
"317";"BA";2909604;"Crisópolis";65585
"318";"BA";2909703;"Cristópolis";51538
"319";"BA";2909802;"Cruz das Almas";58717
"320";"BA";2909901;"Curaçá";47114
"321";"BA";2910008;"Dário Meira";69313
"322";"BA";2910057;"Dias d'Ávila";64372
"323";"BA";2910107;"Dom Basílio";53761
"324";"BA";2910206;"Dom Macedo Costa";50303
"325";"BA";2910305;"Elísio Medrado";56204
"326";"BA";2910404;"Encruzilhada";71053
"327";"BA";2910503;"Entre Rios";69985
"328";"BA";2910602;"Esplanada";55892
"329";"BA";2910701;"Euclides da Cunha";51518
"330";"BA";2910727;"Eunápolis";69125
"331";"BA";2910750;"Fátima";63375
"332";"BA";2910776;"Feira da Mata";51808
"333";"BA";2910800;"Feira de Santana";71001
"334";"BA";2910859;"Filadélfia";46364
"335";"BA";2910909;"Firmino Alves";63921
"336";"BA";2911006;"Floresta Azul";66561
"337";"BA";2911105;"Formosa do Rio Preto";50598
"338";"BA";2911204;"Gandu";67568
"339";"BA";2911253;"Gavião";54299
"340";"BA";2911303;"Gentio do Ouro";31797
"341";"BA";2911402;"Glória";36141
"342";"BA";2911501;"Gongogi";59248
"343";"BA";2911600;"Governador Mangabeira";49117
"344";"BA";2911659;"Guajeru";53211
"345";"BA";2911709;"Guanambi";65052
"346";"BA";2911808;"Guaratinga";58696
"347";"BA";2911857;"Heliópolis";69403
"348";"BA";2911907;"Iaçu";53434
"349";"BA";2912004;"Ibiassucê";61244
"350";"BA";2912103;"Ibicaraí";61309
"351";"BA";2912202;"Ibicoara";71229
"352";"BA";2912301;"Ibicuí";68998
"353";"BA";2912400;"Ibipeba";50327
"354";"BA";2912509;"Ibipitanga";45723
"355";"BA";2912608;"Ibiquera";54975
"356";"BA";2912707;"Ibirapitanga";62214
"357";"BA";2912806;"Ibirapuã";65474
"358";"BA";2912905;"Ibirataia";63686
"359";"BA";2913002;"Ibitiara";3894
"360";"BA";2913101;"Ibititá";64632
"361";"BA";2913200;"Ibotirama";4989
"362";"BA";2913309;"Ichu";56942
"363";"BA";2913408;"Igaporã";63731
"364";"BA";2913457;"Igrapiúna";56673
"365";"BA";2913507;"Iguaí";64865
"366";"BA";2913606;"Ilhéus";66464
"367";"BA";2913705;"Inhambupe";53259
"368";"BA";2913804;"Ipecaetá";63528
"369";"BA";2913903;"Ipiaú";64455
"370";"BA";2914000;"Ipirá";62486
"371";"BA";2914109;"Ipupiara";43629
"372";"BA";2914208;"Irajuba";57769
"373";"BA";2914307;"Iramaia";56429
"374";"BA";2914406;"Iraquara";37275
"375";"BA";2914505;"Irará";63492
"376";"BA";2914604;"Irecê";68487
"377";"BA";2914653;"Itabela";71126
"378";"BA";2914703;"Itaberaba";62827
"379";"BA";2914802;"Itabuna";64564
"380";"BA";2914901;"Itacaré";70734
"381";"BA";2915007;"Itaeté";42715
"382";"BA";2915106;"Itagi";66169
"383";"BA";2915205;"Itagibá";69918
"384";"BA";2915304;"Itagimirim";63447
"385";"BA";2915353;"Itaguaçu da Bahia";46024
"386";"BA";2915403;"Itaju do Colônia";70783
"387";"BA";2915502;"Itajuípe";6092
