Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
AM;1304062;Tabatinga;55051
AM;1304104;Tapauá;50063
AM;1304203;Tefé;69797
AM;1304237;Tonantins;66394
AM;1304260;Uarini;49994
AM;1304302;Urucará;63342
AM;1304401;Urucurituba;44182
AP;1600055;Serra do Navio;6482
AP;1600105;Amapá;73366
AP;1600154;Pedra Branca do Amaparí;49662
AP;1600204;Calçoene;6524
AP;1600212;Cutias;59391
AP;1600238;Ferreira Gomes;64886
AP;1600253;Itaubal;58735
AP;1600279;Laranjal do Jari;71728
AP;1600303;Macapá;72664
AP;1600402;Mazagão;52892
AP;1600501;Oiapoque;72313
AP;1600535;Porto Grande;67904
AP;1600550;Pracuúba;6954
AP;1600600;Santana;73071
AP;1600709;Tartarugalzinho;64132
AP;1600808;Vitória do Jari;59174
BA;2900108;Abaíra;5099
BA;2900207;Abaré;55555
BA;2900306;Acajutiba;43475
BA;2900355;Adustina;70777
BA;2900405;Água Fria;42955
BA;2900504;Érico Cardoso;27706
BA;2900603;Aiquara;58636
BA;2900702;Alagoinhas;59874
BA;2900801;Alcobaça;61752
BA;2900900;Almadina;58757
BA;2901007;Amargosa;57377
BA;2901106;Amélia Rodrigues;5769
BA;2901155;América Dourada;55859
BA;2901205;Anagé;35118
BA;2901304;Andaraí;47224
BA;2901353;Andorinha;42304
BA;2901403;Angical;6396
BA;2901502;Anguera;49873
BA;2901601;Antas;72904
BA;2901700;Antônio Cardoso;49617
BA;2901809;Antônio Gonçalves;52515
BA;2901908;Aporá;51923
BA;2901957;Apuarema;64675
BA;2902005;Aracatu;43563
BA;2902054;Araças;54943
BA;2902104;Araci;45994
BA;2902203;Aramari;48749
BA;2902252;Arataca;68907
BA;2902302;Aratuípe;61597
BA;2902401;Aurelino Leal;62173
BA;2902500;Baianópolis;32465
BA;2902609;Baixa Grande;42498
BA;2902658;Banzaê;64839
BA;2902708;Barra;34338
BA;2902807;Barra da Estiva;61691
BA;2902906;Barra do Choça;76356
BA;2903003;Barra do Mendes;58689
BA;2903102;Barra do Rocha;69381
BA;2903201;Barreiras;76434
BA;2903235;Barro Alto;60253
BA;2903276;Barrocas;NA
BA;2903300;Governador Lomanto Júnior;62194
BA;2903409;Belmonte;6777
BA;2903508;Belo Campo;53329
BA;2903607;Biritinga;53658
BA;2903706;Boa Nova;36761
BA;2903805;Boa Vista do Tupim;50723
BA;2903904;Bom Jesus da Lapa;58238
BA;2903953;Bom Jesus da Serra;3621
BA;2904001;Boninal;4337
BA;2904050;Bonito;6018
BA;2904100;Boquira;36688
BA;2904209;Botuporã;33887
BA;2904308;Brejões;6782
BA;2904407;Brejolândia;50488
BA;2904506;Brotas de Macaúbas;26971
BA;2904605;Brumado;58707
BA;2904704;Buerarema;60571
